"Lugar_del_Accidente";"N_de_Muertos";"PromEdad";"PorcentH";"PorcenM";"Porcent2017";"Porcent2018";"Porcent2019";"Etiqueta"
"Chimborazo - Colta - Sicalpa";7;42,86;0,57;0,43;0,29;0;0,71;"Operativos Regulares frecuentes"
"Chimborazo - Colta - Villa la Union(Cajabamba) Cabecera Cantonal";1;1;1;0;0;0;1;"Operativos Regulares frecuentes"
"Chimborazo - Colta - Columbe";29;35,07;0,55;0,45;0,59;0,34;0,07;"Operativos de Transito SemiConstantes"
"Chimborazo - Colta - Juan de Velasco(Pangor)";4;29,25;0,75;0,25;0,75;0;0,25;"Operativos Regulares frecuentes"
"Chimborazo - Colta - Santiago de Quito(Cab. En San Antonio de Quito)";1;2;0;1;0;0;1;"Operativos Regulares frecuentes"
"Chimborazo - Chambo - Chambo";4;23,25;0,75;0,25;0,25;0,5;0,25;"Operativos Regulares frecuentes"
"Chimborazo - Chunchi - Chunchi Cabecera Cantonal";4;37,5;1;0;0,25;0;0,75;"Operativos Regulares frecuentes"
"Chimborazo - Chunchi - Capzol";1;69;0;1;0;0;1;"Operativos Regulares frecuentes"
"Chimborazo - Chunchi - Compud";1;31;1;0;0;0;1;"Operativos Regulares frecuentes"
"Chimborazo - Chunchi - Gonzol";1;63;1;0;0;0;1;"Operativos Regulares frecuentes"
"Chimborazo - Chunchi - Llagos";2;36;1;0;0,5;0;0,5;"Operativos Regulares frecuentes"
"Chimborazo - Guamote - Guamote";11;35,82;0,73;0,27;0,09;0,18;0,64;"Operativos Regulares frecuentes"
"Chimborazo - Guamote - Cebadas";9;27,89;0,89;0,11;0;0,67;0,33;"Operativos Regulares frecuentes"
"Chimborazo - Guamote - Palmira";9;32,78;0,78;0,22;0,78;0;0,22;"Operativos Regulares frecuentes"
"Chimborazo - Guano - El Rosario";3;40,67;1;0;0;0,33;0,67;"Operativos Regulares frecuentes"
"Chimborazo - Guano - La Matriz";4;51,5;1;0;0,25;0;0,75;"Operativos Regulares frecuentes"
"Chimborazo - Guano - Guano";8;40,12;0,88;0,12;0;0,12;0,88;"Operativos Regulares frecuentes"
"Chimborazo - Guano - Ilapo";2;48,5;1;0;0,5;0;0,5;"Operativos Regulares frecuentes"
"Chimborazo - Guano - La Providencia";1;29;1;0;0;0;1;"Operativos Regulares frecuentes"
"Chimborazo - Guano - San Andres";24;40,42;0,83;0,17;0,17;0,46;0,38;"Operativos Regulares frecuentes"
"Chimborazo - Guano - San Gerardo de Pacaicaguan";3;74;0,67;0,33;0,33;0;0,67;"Operativos Regulares frecuentes"
"Chimborazo - Guano - San Isidro De Patulu";2;54;0,5;0,5;0,5;0,5;0;"Operativos Regulares frecuentes"
"Chimborazo - Pallatanga - Pallatanga";22;41,64;0,68;0,32;0,23;0,32;0,45;"Operativos Regulares frecuentes"
"Chimborazo - Penipe - Penipe";3;43,67;1;0;0,33;0,33;0,33;"Operativos Regulares frecuentes"
"Chimborazo - Penipe - San Antonio de Bayushig";1;64;1;0;0;0;1;"Operativos Regulares frecuentes"
"Chimborazo - Penipe - La Candelaria";3;39,67;1;0;0,67;0;0,33;"Operativos Regulares frecuentes"
"Chimborazo - Cumanda - Cumanda";6;37,67;1;0;0,33;0,17;0,5;"Operativos Regulares frecuentes"
"El Oro - Machala - La Providencia";36;35,89;0,86;0,14;0,5;0,28;0,22;"Operativos de Transito SemiConstantes"
"El Oro - Machala - Machala";138;38,83;0,83;0,17;0,25;0,41;0,32;"Operativos de Transito SemiConstantes"
"El Oro - Machala - Puerto Bolivar";5;42,6;1;0;1;0;0;"Operativos Regulares frecuentes"
"El Oro - Machala - Nueve De Mayo";8;34,12;1;0;0,62;0,25;0,12;"Operativos Regulares frecuentes"
"El Oro - Machala - El cambio";5;37,2;1;0;1;0;0;"Operativos Regulares frecuentes"
"El Oro - Machala - Machala Cabezera Cantonal y Provincial";19;38,53;0,95;0,05;0,21;0;0,79;"Operativos Regulares frecuentes"
"El Oro - Machala - El Cambio";1;35;1;0;1;0;0;"Operativos Regulares frecuentes"
"El Oro - Machala - El Retiro";5;39;0,8;0,2;0,6;0,4;0;"Operativos Regulares frecuentes"
