"Lugar_del_Accidente";"N_de_Muertos";"PromEdad";"PorcentH";"PorcenM";"Porcent2017";"Porcent2018";"Porcent2019";"Etiqueta"
"Carchi - Espejo - La Libertad(Alizo)";1;35;1;0;1;0;0;"Operativos Regulares frecuentes"
"Carchi - Espejo - San Isidro";2;58;0,5;0,5;0,5;0,5;0;"Operativos Regulares frecuentes"
"Carchi - Mira - Mira (Chontahuasi)";5;49;0,8;0,2;0,4;0,2;0,4;"Operativos Regulares frecuentes"
"Carchi - Mira - Jijon y Caamano(Cab. En Rio Blanco)";1;61;1;0;0;0;1;"Operativos Regulares frecuentes"
"Carchi - Mira - Juan Montalvo(San Ignacio de Quil)";2;44;1;0;0;0;1;"Operativos Regulares frecuentes"
"Carchi - Montufar - Gonzalez Suarez";5;51;0,8;0,2;0,6;0;0,2;"Operativos Regulares frecuentes"
"Carchi - Montufar - San Jose";4;24;0,75;0,25;0;0,75;0,25;"Operativos Regulares frecuentes"
"Carchi - Montufar - San Gabriel";6;57;0,5;0,5;0,5;0,17;0,33;"Operativos Regulares frecuentes"
"Carchi - Montufar - Cristobal Colon";1;50;1;0;0;0;1;"Operativos Regulares frecuentes"
"Carchi - Montufar - La Paz";2;38;0,5;0,5;0;0,5;0,5;"Operativos Regulares frecuentes"
"Carchi - San Pedro De Huaca - Huaca";5;34;1;0;0,2;0,4;0,4;"Operativos Regulares frecuentes"
"Carchi - San Pedro de Huaca - Mariscal Sucre";2;34;1;0;0,5;0;0,5;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - Eloy Alfaro (San Felipe)";31;42;0,71;0,29;0,52;0,16;0,32;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - Ignacio Flores (Parque Flores)";15;48;0,87;0,13;0,27;0,2;0,53;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - Juan Montalvo (San Sebastian)";2;31;1;0;0;1;0;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - La Matriz";41;47;0,71;0,29;0,24;0,41;0,34;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - San Buenaventura";2;58;1;0;0;1;0;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - Latacunga Cabecera Cantonal";4;54;0,75;0,25;0,75;0;0,25;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - Alaques (Alaquez)";3;19;0,67;0,33;0,33;0,33;0,33;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - Belisario Quevedo(Guanailin)";5;34;0,8;0,2;0,2;0;0,8;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - Guaitacama (Guaytacama)";13;39;0,62;0,38;0,46;0,08;0,46;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - Mulalo";5;40;0,6;0,4;0;0,2;0,8;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - 11 De Noviembre (Ilinchisi)";3;45;0,33;0,67;0;1;0;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - Poalo";1;58;1;0;0;1;0;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - San Juan De Pastocalle";24;33;0,92;0,08;0,29;0,46;0,25;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - Tanicuchi";23;32;0,7;0,3;0,26;0,3;0,43;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - Toacaso";3;36;0,67;0,33;0;0,67;0,33;"Operativos Regulares frecuentes"
"Cotopaxi - La Mana - El Carmen";3;53;1;0;0;0;1;"Operativos Regulares frecuentes"
"Cotopaxi - La Mana - La Mana";13;50;0,92;0,08;0,54;0;0,46;"Operativos Regulares frecuentes"
"Cotopaxi - La Mana - El Triunfo";1;62;1;0;0;0;1;"Operativos Regulares frecuentes"
"Cotopaxi - La Mana - La Mana";15;37;0,73;0,27;0,13;0,8;0,07;"Operativos Regulares frecuentes"
"Cotopaxi - La Mana - Guasaganda (Cab. En Guasaganda Centro)";1;22;1;0;0;1;0;"Operativos Regulares frecuentes"
"Cotopaxi - Pangua - El Corazon Cabecera Cantonal";1;7;1;0;1;0;0;"Operativos Regulares frecuentes"
